id,tweet_date,screen_name,follower
17176,2014-04-29 23:38:38 -0500,gpflaumer,Mizz_Niamh_C
17176,2014-04-29 23:38:38 -0500,gpflaumer,OHKamarri
17176,2014-04-29 23:38:38 -0500,gpflaumer,MellyThurman
17176,2014-04-29 23:38:38 -0500,gpflaumer,Chicago_U
17176,2014-04-29 23:38:38 -0500,gpflaumer,StephenGlickman
17176,2014-04-29 23:38:38 -0500,gpflaumer,lindsayyxx16
17176,2014-04-29 23:38:38 -0500,gpflaumer,rrodriguez16
17176,2014-04-29 23:38:38 -0500,gpflaumer,EpicDash_
17176,2014-04-29 23:38:38 -0500,gpflaumer,weenawhodes
17176,2014-04-29 23:38:38 -0500,gpflaumer,Baddiemagwell
17176,2014-04-29 23:38:38 -0500,gpflaumer,JenGoudy
17176,2014-04-29 23:38:38 -0500,gpflaumer,6PathsOfPeace
17176,2014-04-29 23:38:38 -0500,gpflaumer,OlliePurr
17176,2014-04-29 23:38:38 -0500,gpflaumer,jayy127
17176,2014-04-29 23:38:38 -0500,gpflaumer,KENZiEbabiii
17176,2014-04-29 23:38:38 -0500,gpflaumer,WildflourCake
17176,2014-04-29 23:38:38 -0500,gpflaumer,OlyviaDiaz
17176,2014-04-29 23:38:38 -0500,gpflaumer,Scorpio_DH
17176,2014-04-29 23:38:38 -0500,gpflaumer,marilyn_medina1
17176,2014-04-29 23:38:38 -0500,gpflaumer,kateodonnell92
17176,2014-04-29 23:38:38 -0500,gpflaumer,PennyandMary
17176,2014-04-29 23:38:38 -0500,gpflaumer,TheEarlyRelease
17176,2014-04-29 23:38:38 -0500,gpflaumer,jadenkirnfate
17176,2014-04-29 23:38:38 -0500,gpflaumer,NUMBER30WIFE
17176,2014-04-29 23:38:38 -0500,gpflaumer,angyaudy
17176,2014-04-29 23:38:38 -0500,gpflaumer,GabrielitaVzla
17176,2014-04-29 23:38:38 -0500,gpflaumer,Brandon6644
17176,2014-04-29 23:38:38 -0500,gpflaumer,ricecakes9312
